full_text,sentiment,confidence
padahal pengin banget lihat konate di naturalisasi dan bisa main buat timnas indonesia,positive,98.60%
kontribusi pemain naturalisasi selain pengalaman bermain adalah mencetak bibit unggul untuk timnas indonesia ke depan contoh e wes akeh,positive,88.37%
eks pemain naturalisasi timnas indonesia jadi pemain terbaik liga,neutral,77.27%
bek naturalisasi persija jakarta otavio dutra menjadi satu dari jutaan masyarakat indonesia yang antusias menyaksikan laga uji coba antara timnas u,neutral,94.07%
menkumham dan juga menteri bumn siap bantu percepat naturalisasi pemain timnas indonesia,neutral,99.69%
bisa pikat hati shin tae yong striker naturalisasi ini beri teror ke timnas u indonesia,negative,54.49%
menkumham yasonna siap membantu percepatan naturalisasi pemain yang akan diproyeksikan menguatkan permainan timnas di dua ajang bergengsi tersebut,neutral,98.61%
agak susah memang kalo belum punya paspor indonesia apalagi dirtek dari awal maunya panggil yang udah punya paspor udah gitu waktu makin sedikit untuk proses naturalisasi ya kalo mereka bisa join timnas sebagai wni itu makin mantap,positive,99.22%
sugan saya naturalisasi timnas indonesia naskleng ketipu,negative,90.73%
berita bola terkini nova indonesia klik calon pemain naturalisasi timnas indonesia sandy walsh cetak gol ke gawang standard liege,neutral,99.74%
calon pemain naturalisasi timnas indonesia sandy walsh cetak gol ke gawang standard liege,neutral,99.70%
calon pemain naturalisasi timnas indonesia sandy walsh berhasil mencetak gol untuk timnya kv mechelen di liga belgia,neutral,98.21%
calon pemain naturalisasi timnas indonesia lakukan debut di laga ajax vs twente,neutral,99.75%
sandy walsh sudah lama mengaku tertarik bermain untuk timnas indonesia ia memiliki darah indonesia dari kakeknya sejak timnas indonesia dilatih simon mcmenemy pada tahun lalu naturalisasi sandy walsh selalu menjadi bahan perbincangan,positive,68.97%
naturalisasi sandy walsh berproses bek fiorentina mau bela timnas indonesia via,neutral,99.74%
adanya dua pemain naturalisasi bikin pelatih timnas indonesia bahagia,positive,94.41%
pemain naturalisasi tampil solid timnas indonesia hajar thailand,neutral,91.06%
tapak tilas pemain naturalisasi asal belanda di timnas indonesia sukses atau gagal,neutral,98.55%
hanya sedikit pemain naturalisasi asal belanda yang berkontribusi signifikan di timnas indonesia,neutral,94.25%
pemain naturalisasi malaysia yang permalukan timnas indonesia dua kali stres berat,negative,60.69%
denger denger kylian mbappe mau naturalisasi ke timnas indonesia tetapi berhubung di indo lagi ada gerakan boykot produk prancis gajadi deh,negative,99.47%
timnas indonesia u berpeluang diisi pemain naturalisasi,neutral,99.61%
ada peluang timnas u indonesia diperkuat pemain naturalisasi,neutral,98.75%
ada peluang timnas u indonesia diperkuat pemain naturalisasi,neutral,98.75%
yg buat antusias itu karna dia masih aktif bermain di eropa pemain kek gini nantinya bisa share pengalamannya untuk rekan tim nya di timnas semoga saja kalau emng jdi di naturalisasi dia tidak kepikiran buat main di liga indonesia,positive,98.31%
sejak indonesia fokus blasteran irfan bachdim ezra kim sampe tony cussel van boukering adakah dari mereka yang sekelas bp kdy boaz ilham jk budi s di timnas indonesia sudah banyak contoh naturalisasi atau punya halfblood mereka tidak hasilin apa,negative,51.31%
ya bkn naturalisasi tapi pssi sibuk cari pemain yang berdarah indonesiauntuk di jadikan pemain timnas beda tipis itu bos,negative,94.53%
ozil naturalisasi saja ke timnas indonesia,neutral,99.50%
pemain naturalisasi debut lawan timnas indonesia tumbang dari uzbekistan,neutral,99.52%
pemain naturalisasi debut lawan timnas indonesia tumbang dari uzbekistan,neutral,99.52%
bapak iriawan terhormat mauya pemain luar negeri keturunan indonesia pinggin bela timnas indonesia mauya di naturalisasi dan jadi warga wni ini namanya emillio audero mulyadi kevin diks bakarbesy pascal struijk kezia vendorp calvin verdonk jay idzes thom haye tijjani reijinders,neutral,98.45%
bapak iriawan terhormat mauya pemain luar negeri keturunan indonesia mauya di naturalisasi dan menjadi wni ini namanya joseph ferguson nyoman paul aro elkan bagott levi van mulken stefan antonic mauya nama ini jadi wni dan pingin bela timnas indonesia bapak iriawan terhormat,neutral,65.61%
bapak iriawan terhormat mauya pemain eropa berdarah indonesia pinggin bela timnas indonesia mauya di naturalisasi dan jadi warga indonesia ini namanya jim croque lorenzo raharing tristan gooijer elkan bagott max christoffer matthew steenvoorden mauya ini nama ini menjadi wni,neutral,98.64%
di liga indonesia banyak juga ya pemain asingnya jadi bintang lokal tapi pemain lokal sulit mejeng diatas segala naturalisasi juga buat mengisi slot timnas jangan lupa pelatihnya import dan bergaji besar pelatih lokal kmn,negative,96.35%
otavio dutra berharap bisa main bareng marc klok di timnas indonesia proses naturalisasi yang diajukan klok sejak tahun segera rampung,neutral,98.10%
otavio dutra berharap bisa main bareng marc klok di timnas indonesia proses naturalisasi yang diajukan klok sejak tahun segera rampung,neutral,98.10%
timnas vietnam cemas usai indonesia naturalisasi marc klok ada apa,neutral,99.18%
ya kalo pola makan pemain selevel timnas seperti gini lebih baik pemain naturalisasi tetapi anehnya kok malah fight back y enaknya jadi pemain timnas indonesia makan apa saja bebas,negative,96.24%
giliran dpr yang kritisi rencana naturalisasi pemain untuk timnas indonesia di piala dunia u,neutral,99.63%
ikuti wawancara kami dengan general manajer asosiasi pesepakbola profesional indonesia appi ponaryo astaman mengenai pro kontra naturalisasi timnas topik lainnya di trijaya sport edisi senin agustus munchen kembali rajai sepakbola eropa,neutral,99.30%
fakhri husaini isu naturalisasi ganggu mental pemain timnas u indonesia,neutral,99.29%
fakhri husaini isu naturalisasi ganggu mental pemain timnas u indonesia,neutral,99.29%
fakhri husaini isu naturalisasi ganggu mental pemain timnas u indonesia,neutral,99.29%
naturalisasi pemain untuk menjadi skuat timnas indonesia di ajang pialada dunia u menuai sorotan,neutral,99.44%
pemain muda brasil datang timnas indonesia ditegaskan tak perlu pemain naturalisasi,neutral,99.68%
naturalisasi pemain timnas mengubur mimpi semua anak indonesia untuk membela tanah air di ajang sepakbola,neutral,88.51%
mantan kapten timnas indonesia ponaryo astaman bicara mengenai idola piala asia dan pemain naturalisasi,neutral,99.48%
reaksi eks kapten timnas indonesia soal gelombang naturalisasi pssi jangan jangan di brasil main tarkam,neutral,98.76%
kata bang james kepala regulasinya fifa ezra harus punya paspor indonesia sebelum dia bela timnas belanda u di kualifikasi euro u tahun problemnya waktu itu kayanya pssi ngasih dokumen kalo ezra itu naturalisasi di tahun cuma apakah pssi udah banding tidak tau,negative,63.92%
dua striker naturalisasi indonesia berbicara tentang fanatisme suporter sepak bola di indonesia,neutral,97.33%
kasian yaa anak anak muda indonesia yang lagi berjuang untuk mendapatkan panggilan timnas dinegaranya sendiri terus ada rumor kaya gini naturalisasi pemain yang tidak ada darahnya sama sekali optimis jadi pesimis,negative,99.69%
setelah baca baca adanya proses naturalisasi pemain u dari brazil aku tak mendukung timnas malaysia ae ketimbang timnas indonesia,negative,90.63%
emang tidak peduli dan nga ngikutin sepakbola indonesia tapi denger denger timnas u nya mau naturalisasi pemain brazil maksudnya apa ya timnas itu kan jelas jelas tim nasional yang harusnya pemain pemainnya kalau mau masuk timnas otomatis orangketurunan indonesia,negative,98.45%
berentilah ngabesi duit pssi pas timnas senior yang diambek pemain senior naturalisasi lemaklah u bangun rumah rss buat pemain bola indonesia yang sudah pensiun,negative,98.36%
menurut saya mah kalo lagi bahas masalah naturalisasi pemain asing yang lagi heboh sekarang lebih baik coba panggil pemain yang punya darah indonesia jika memang dibutuhkan utk pemain lokal harus lebih disiplin lagi jika ingin tetap dipanggil dan bersaing di timnas,positive,67.87%
