full_text,sentiment,confidence,full_text_length
pengin banget lihat konate naturalisasi main timnas indonesia,positive,98.60%,86
kontribusi pemain naturalisasi alam main cetak bibit unggul timnas indonesia contoh e wes akeh,positive,88.37%,135
mantan pemain naturalisasi timnas indonesia pemain baik liga,neutral,77.27%,65
bek naturalisasi persija jakarta otavio dutra juta masyarakat indonesia antusias saksi laga uji coba timnas u,neutral,94.07%,147
menkumham menteri bumn bantu cepat naturalisasi pemain timnas indonesia,neutral,99.69%,88
pikat hati shin tae yong striker naturalisasi teror timnas u indonesia,negative,54.49%,87
menkumham yasonna bantu cepat naturalisasi pemain proyeksi kuat main timnas ajang gengsi,neutral,98.61%,146
susah kalo paspor indonesia dirtek mau panggil udah paspor udah gitu proses naturalisasi ya kalo join timnas wni mantap,positive,99.22%,231
sugan naturalisasi timnas indonesia naskleng tipu,negative,90.73%,56
berita bola kini nova indonesia klik calon pemain naturalisasi timnas indonesia sandy walsh cetak gol gawang standard liege,neutral,99.74%,129
calon pemain naturalisasi timnas indonesia sandy walsh cetak gol gawang standard liege,neutral,99.70%,89
calon pemain naturalisasi timnas indonesia sandy walsh hasil cetak gol tim kv mechelen liga belgia,neutral,98.21%,116
calon pemain naturalisasi timnas indonesia laku debut laga ajax vs twente,neutral,99.75%,79
sandy walsh aku tarik main timnas indonesia milik darah indonesia kakek timnas indonesia latih simon mcmenemy naturalisasi sandy walsh bahan bincang,positive,68.97%,233
naturalisasi sandy walsh proses bek fiorentina bela timnas indonesia via,neutral,99.74%,79
pemain naturalisasi latih timnas indonesia bahagia,positive,94.41%,69
pemain naturalisasi tampil solid timnas indonesia hajar thailand,neutral,91.06%,64
tapak tilas pemain naturalisasi belanda timnas indonesia sukses gagal,neutral,98.55%,82
pemain naturalisasi belanda kontribusi signifikan timnas indonesia,neutral,94.25%,96
pemain naturalisasi malaysia malu timnas indonesia kali stres berat,negative,60.69%,82
denger denger kylian mbappe naturalisasi timnas indonesia hubung indo gera boykot produk prancis gajadi deh,negative,99.47%,139
timnas indonesia u peluang isi pemain naturalisasi,neutral,99.61%,55
peluang timnas u indonesia kuat pemain naturalisasi,neutral,98.75%,60
antusias karna aktif main eropa pemain kek gin share alam rekan tim nya timnas moga emng jdi naturalisasi tidak pikir main liga indonesia,positive,98.31%,230
indonesia fokus blaster irfan bachdim ezra kim sampe tony cussel van boukering ada kelas bp kdy boaz ilham jk budi s timnas indonesia contoh naturalisasi halfblood tidak hasilin,negative,51.31%,245
ya bkn naturalisasi pssi sibuk cari pemain darah indonesiauntuk jadi pemain timnas beda tipis bos,negative,94.53%,120
ozil naturalisasi timnas indonesia,neutral,99.50%,42
pemain naturalisasi debut lawan timnas indonesia tumbang uzbekistan,neutral,99.52%,72
iriawan hormat mauya pemain negeri turun indonesia pinggin bela timnas indonesia mauya naturalisasi warga wni nama emillio audero mulyadi kevin diks bakarbesy pascal struijk kezia vendorp calvin verdonk jay idzes thom haye tijjani reijinders,neutral,98.45%,278
iriawan hormat mauya pemain negeri turun indonesia mauya naturalisasi wni nama joseph ferguson nyoman paul aro elkan bagott levi van mulken stefan antonic mauya nama wni pingin bela timnas indonesia iriawan hormat,neutral,65.61%,275
iriawan hormat mauya pemain eropa darah indonesia pinggin bela timnas indonesia mauya naturalisasi warga indonesia nama jim croque lorenzo raharing tristan gooijer elkan bagott max christoffer matthew steenvoorden mauya nama wni,neutral,98.64%,275
liga indonesia ya pemain asing bintang lokal pemain lokal sulit mejeng atas naturalisasi isi slot timnas jangan lupa latih import gaji latih lokal kmn,negative,96.35%,221
otavio dutra harap main bareng marc klok timnas indonesia proses naturalisasi aju klok rampung,neutral,98.10%,134
timnas vietnam cemas indonesia naturalisasi marc klok,neutral,99.18%,66
ya kalo pola makan pemain level timnas gin pemain naturalisasi aneh fight back y enak pemain timnas indonesia makan bebas,negative,96.24%,180
gilir dpr kritisi rencana naturalisasi pemain timnas indonesia piala dunia u,neutral,99.63%,92
ikut wawancara general manajer asosiasi pesepakbola profesional indonesia appi ponaryo astaman pro kontra naturalisasi timnas topik trijaya sport edisi senin agustus munchen raja sepakbola eropa,neutral,99.30%,236
fakhri husaini isu naturalisasi ganggu mental pemain timnas u indonesia,neutral,99.29%,71
naturalisasi pemain skuat timnas indonesia ajang pialada dunia u tuai sorot,neutral,99.44%,96
pemain muda brasil timnas indonesia pemain naturalisasi,neutral,99.68%,83
naturalisasi pemain timnas kubur mimpi anak indonesia bela tanah air ajang sepakbola,neutral,88.51%,105
mantan kapten timnas indonesia ponaryo astaman bicara idola piala asia pemain naturalisasi,neutral,99.48%,103
reaksi mantan kapten timnas indonesia gelombang naturalisasi pssi jangan jangan brasil main tarkam,neutral,98.76%,103
bang james kepala regulasi fifa ezra paspor indonesia bela timnas belanda u kualifikasi euro u problem kaya pssi ngasih dokumen kalo ezra naturalisasi pssi udah banding tidak tau,negative,63.92%,260
striker naturalisasi indonesia bicara fanatisme suporter sepak bola indonesia,neutral,97.33%,95
